feature_sanitized,feature,perm_importance_mean,perm_importance_std
iat_max,iat_max,-0.00012820687140294493,0.00018961480340803935
bwd_iat_std,bwd_iat_std,-0.00016185314541141248,8.876982817033156e-05
tok_iat_min,tok_iat_min,-0.00017482534237520223,0.0003869028545330101
tok_iat_p50,tok_iat_p50,-0.00019885395630236946,0.0002041332753792177
pktlen_kurt,pktlen_kurt,-0.0002051431941439752,0.00014162462281215078
bwd_pktlen_skew,bwd_pktlen_skew,-0.0002114179247313497,0.0003405619633999604
tok_iat_max,tok_iat_max,-0.0002145819973602592,0.00027382629207453867
byte_ratio_bwd_fwd,byte_ratio_bwd_fwd,-0.00021481457067252797,0.0005764436254609927
pktlen_skew,pktlen_skew,-0.00022559108176592566,0.0003264785413091037
bwd_frac_burst_pkts,bwd_frac_burst_pkts,-0.0002672083534294689,8.153855353356614e-05
tok_iat_p10,tok_iat_p10,-0.0002751099016175096,0.0003176596476413431
pkt_frac_burst_pkts,pkt_frac_burst_pkts,-0.00033667214530036293,0.00015100234540446015
tok_iat_ac_lag2,tok_iat_ac_lag2,-0.00034586115921089847,0.00023240465827554163
pktlen_norm_entropy,pktlen_norm_entropy,-0.0003564475887334106,3.9788648107344064e-05
fwd_pktlen_min,fwd_pktlen_min,-0.0003921643583825296,4.06155906072514e-05
tok_iat_p90,tok_iat_p90,-0.0003936731778817437,0.0013423116165045999
tok_iat_mean,tok_iat_mean,-0.00042263414478227023,0.0007283086841113186
iat_iqr,iat_iqr,-0.0004233512808538409,0.00025421778253594516
iat_std,iat_std,-0.0004240762878269267,9.203611245389128e-05
tok_iat_std,tok_iat_std,-0.0005390158200695282,0.00033801024891573934
iat_min,iat_min,-0.0006295521430579497,0.00012313904526584712
tok_iat_p25,tok_iat_p25,-0.0006827412875439198,0.0002917694110071519
byte_growth_slope,byte_growth_slope,-0.0010161617138461378,0.0003072875437417794
delta_tok_iat_mean,delta_tok_iat_mean,-0.0014136898480599422,0.002556977814785037
iat_p50,iat_p50,-0.0029565619042899297,0.00047838463125268044
iat_p10,iat_p10,-0.0030508251130967334,0.0007287615088802225
