session_id,label_llm,label_model,label_workload,label_expected_tokens,meta_latency_s,meta_resp_words,meta_timestamp,total_packets,fwd_packets,bwd_packets,total_bytes,fwd_bytes,bwd_bytes,flow_duration_s,throughput_bps,first_response_latency_s,iat_mean,iat_std,iat_min,iat_max,iat_skew,pktlen_mean,pktlen_std,pktlen_min,pktlen_max,pktlen_skew,fwd_pktlen_mean,fwd_pktlen_std,bwd_pktlen_mean,bwd_pktlen_std,byte_ratio_bwd_fwd,burst_count,tls_detected
d6fa5214,groq_qwen3_32b,qwen/qwen3-32b,chain_of_thought,medium,8.8344,1247,20260415T203957Z,2,1,1,121,55,66,0.005145,23517.65,0.005145,0.005145,0.0,0.005145,0.005145,0.0,60.5,5.5,55.0,66.0,0.0,55.0,0.0,66.0,0.0,1.2,1,1
85a53f61,groq_qwen3_32b,qwen/qwen3-32b,chain_of_thought,medium,20.9391,1451,20260415T204008Z,216,2,214,52149,167,51982,19.643734,2654.74,0.005012,0.091366,0.519511,0.0,6.243088,9.1533,241.43,436.5,54.0,3568.0,4.9182,83.5,29.5,242.91,438.26,311.2695,16,1
ce263d97,groq_qwen3_32b,qwen/qwen3-32b,chain_of_thought,medium,2.2466,695,20260415T204031Z,6,3,3,1116,639,477,0.01756,63553.51,0.01546,0.003512,0.003619,0.0,0.009049,0.4488,186.0,129.41,54.0,422.0,0.7326,213.0,154.34,159.0,90.63,0.7465,1,1
22f65151,groq_qwen3_32b,qwen/qwen3-32b,chain_of_thought,short,23.1213,985,20260415T204035Z,40,5,35,5139,821,4318,12.845434,400.06,0.033121,0.32937,1.001117,0.0,5.492551,3.9506,128.47,125.64,54.0,612.0,2.2309,164.2,135.32,123.37,123.36,5.2594,7,1
b6b5a03a,groq_qwen3_32b,qwen/qwen3-32b,summarisation,short,10.8403,207,20260415T204100Z,9,2,7,676,214,462,6.571988,102.86,0.047109,0.821499,1.422656,0.000127,3.940962,1.378,75.11,32.87,54.0,154.0,1.5874,107.0,47.0,66.0,19.6,2.1589,3,1
ce2373c6,groq_qwen3_32b,qwen/qwen3-32b,summarisation,medium,1.4359,428,20260415T204113Z,2,1,1,206,152,54,0.04697,4385.79,0.04697,0.04697,0.0,0.04697,0.04697,0.0,103.0,49.0,54.0,152.0,0.0,152.0,0.0,54.0,0.0,0.3553,1,1
54f1438c,groq_qwen3_32b,qwen/qwen3-32b,summarisation,short,4.2201,297,20260415T204117Z,4,1,3,235,60,175,1.314942,178.72,0.000108,0.438314,0.61586,0.000108,1.309266,0.7071,58.75,4.76,54.0,66.0,0.5162,60.0,0.0,58.33,5.44,2.9167,2,1
4393bcd1,groq_qwen3_32b,qwen/qwen3-32b,translation,short,3.6514,491,20260415T204123Z,16,2,14,1649,139,1510,1.829007,901.58,0.000302,0.121934,0.303864,0.0,1.162327,2.7559,103.06,61.36,54.0,273.0,1.5921,69.5,9.5,107.86,64.08,10.8633,3,1
dd147afd,groq_qwen3_32b,qwen/qwen3-32b,translation,short,2.7603,525,20260415T204129Z,5,1,4,413,113,300,1.181122,349.67,0.006436,0.295281,0.476411,0.006436,1.120001,1.151,82.6,22.22,54.0,113.0,-0.0837,113.0,0.0,75.0,18.12,2.6549,2,1
a9107455,groq_qwen3_32b,qwen/qwen3-32b,translation,medium,11.0263,732,20260415T204134Z,2,1,1,121,55,66,0.005284,22899.01,0.005284,0.005284,0.0,0.005284,0.005284,0.0,60.5,5.5,55.0,66.0,0.0,55.0,0.0,66.0,0.0,1.2,1,1
48e359b2,groq_qwen3_32b,qwen/qwen3-32b,classification,short,6.0878,268,20260415T204147Z,2,1,1,121,55,66,0.00567,21341.02,0.00567,0.00567,0.0,0.00567,0.00567,0.0,60.5,5.5,55.0,66.0,0.0,55.0,0.0,66.0,0.0,1.2,1,1
38eca66a,groq_qwen3_32b,qwen/qwen3-32b,roleplay_agent,medium,5.1812,234,20260415T204159Z,2,1,1,114,60,54,9.8e-05,1163383.59,9.8e-05,9.8e-05,0.0,9.8e-05,9.8e-05,0.0,57.0,3.0,54.0,60.0,0.0,60.0,0.0,54.0,0.0,0.9,1,1
e13a0a67,groq_qwen3_32b,qwen/qwen3-32b,roleplay_agent,medium,4.6492,967,20260415T204206Z,2,1,1,121,55,66,0.006415,18861.66,0.006415,0.006415,0.0,0.006415,0.006415,0.0,60.5,5.5,55.0,66.0,0.0,55.0,0.0,66.0,0.0,1.2,1,1
87f9c22f,groq_qwen3_32b,qwen/qwen3-32b,instruction_following,medium,7.4164,362,20260415T204213Z,4,1,3,235,60,175,3.011767,78.03,0.000112,1.003922,1.415907,0.000112,3.006315,0.7071,58.75,4.76,54.0,66.0,0.5162,60.0,0.0,58.33,5.44,2.9167,2,1
407ba6ea,groq_qwen3_32b,qwen/qwen3-32b,instruction_following,short,3.2271,273,20260415T204222Z,11,2,9,875,139,736,0.33341,2624.4,0.000444,0.033341,0.052043,1.9e-05,0.168848,1.7248,79.55,18.89,54.0,113.0,-0.0141,69.5,9.5,81.78,19.71,5.295,2,1
